original_category,suggested_category,records
计算机科学 / Mit6.5840 / Mit6.5840,计算机科学基础 / 网络与分布式,3
计算机科学 / 数学杂项 / 数学杂项,计算机科学基础 / 数学与理论,5
计算机科学 / 数学课程 / 数学课程,计算机科学基础 / 数学与理论,8
计算机科学 / 数据库 / 数据库,计算机科学基础 / 数据库与编译,1
计算机科学 / 电路理论 / 电路理论,计算机科学基础 / 系统与体系结构,1
计算机科学 / 算法 / 算法,计算机科学基础 / 编程与算法,8
计算机科学 / 计网 / 计网,计算机科学基础 / 网络与分布式,6
计算机科学 / 资料收集 / 资料收集,计算机科学基础 / 数据库与编译,3
计算机科学 / 软件分析 / 软件分析,计算机科学基础 / 软件分析与性能,2
贡献者 / Contributers 🥰 / Contributers 🥰,站点功能 / 贡献者,15
首页 / 首页,站点功能 / 首页,1
